,CLIENT_ID,RETRO_DT,TARGET,number_of_friends
0,1011725,20210501,0,100
1,1018784,20210501,1,36
2,1021812,20210501,0,100
3,1024003,20210501,0,19
4,1025140,20210501,test,100
5,1026390,20210501,1,100
6,1028552,20210501,0,45
7,1029732,20210501,test,100
8,1036872,20210501,0,100
9,1041608,20210501,0,84
10,1045369,20210501,1,100
11,1057514,20210501,0,38
12,1065236,20210501,1,100
13,1070440,20210501,0,100
14,1071999,20210501,0,100
15,1072493,20210501,0,100
16,1079356,20210501,0,100
17,1079794,20210501,test,33
18,1092732,20210501,0,4
19,1093804,20210501,1,100
20,1094839,20210501,0,4
21,1099612,20210501,0,100
22,1116926,20210501,0,100
23,1118507,20210501,0,23
24,1120845,20210501,0,35
25,1136822,20210501,test,100
26,114541,20210501,test,47
27,1147593,20210501,test,97
28,1164020,20210501,1,100
29,1175442,20210501,1,5
30,1176768,20210501,1,2
31,1191988,20210501,0,1
32,1197515,20210501,0,100
33,120206,20210501,0,96
34,1203020,20210501,test,16
35,1206049,20210501,0,85
36,1207748,20210501,0,37
37,1213096,20210501,test,100
38,1215224,20210501,0,65
39,1217142,20210501,1,52
40,1219602,20210501,0,100
41,1224360,20210501,0,30
42,1226535,20210501,1,60
43,1226894,20210501,test,100
44,1239608,20210501,test,100
45,1245672,20210501,0,100
46,1246446,20210501,1,100
47,1250068,20210501,0,100
48,1252539,20210501,0,100
49,1254125,20210501,0,100
50,1254764,20210501,test,100
51,1255377,20210501,0,69
52,1258658,20210501,0,100
53,1261262,20210501,test,1
54,1265566,20210501,1,43
55,1268471,20210501,test,100
56,1269615,20210501,0,100
57,1271443,20210501,0,17
58,1275819,20210501,1,100
59,1277766,20210501,test,83
60,128107,20210501,1,20
61,1284993,20210501,0,100
62,1295020,20210501,0,100
63,1296023,20210501,test,100
64,1297359,20210501,1,89
65,1301064,20210501,1,100
66,1302054,20210501,0,26
67,1302394,20210501,0,1
68,1309882,20210501,1,43
69,1314856,20210501,1,79
70,1315751,20210501,0,18
71,1318800,20210501,test,100
72,1320063,20210501,0,100
73,1320887,20210501,0,53
74,1321876,20210501,0,100
75,1322657,20210501,test,82
76,1327486,20210501,0,60
77,1327733,20210501,0,100
78,1329317,20210501,1,85
79,1330060,20210501,0,2
80,1332800,20210501,0,100
81,1333032,20210501,1,30
82,1333812,20210501,1,28
83,1342285,20210501,1,100
84,1345712,20210501,test,58
85,1345976,20210501,0,100
86,1350998,20210501,test,100
87,1354268,20210501,0,100
88,1354636,20210501,1,100
89,1358380,20210501,test,100
90,1362342,20210501,0,100
91,1362402,20210501,0,100
92,1362422,20210501,0,100
93,1362648,20210501,0,100
94,1365925,20210501,0,23
95,1367527,20210501,0,25
96,1367923,20210501,0,97
97,136839,20210501,0,100
98,1369419,20210501,1,100
99,1372005,20210501,1,36
100,1372522,20210501,0,100
101,1373140,20210501,test,100
102,1376107,20210501,0,2
103,1377315,20210501,1,98
104,1378366,20210501,0,67
105,1379747,20210501,0,100
106,1381260,20210501,0,5
107,1383094,20210501,test,100
108,1384861,20210501,0,68
109,1387923,20210501,0,100
110,1388934,20210501,0,81
111,1391241,20210501,1,100
112,1393366,20210501,test,46
113,1396143,20210501,0,100
114,1397094,20210501,0,100
115,1399385,20210501,0,6
116,1400570,20210501,0,69
117,1402733,20210501,0,27
118,1404657,20210501,1,100
119,1405349,20210501,0,100
120,1405429,20210501,1,21
121,1406779,20210501,0,77
122,1407185,20210501,0,100
123,1408076,20210501,1,100
124,1410440,20210501,0,100
125,141310,20210501,0,100
126,1414484,20210501,1,100
127,1415596,20210501,0,47
128,1416081,20210501,1,98
129,1416516,20210501,test,67
130,1418784,20210501,1,59
131,1420065,20210501,1,100
132,1420789,20210501,1,100
133,1421066,20210501,test,100
134,1421237,20210501,test,74
135,1421533,20210501,0,76
136,1421570,20210501,test,53
137,1421612,20210501,1,100
138,1422545,20210501,0,100
139,1423766,20210501,1,99
140,1424648,20210501,test,100
141,1427554,20210501,1,40
142,1428667,20210501,0,100
143,1432012,20210501,test,100
144,1432077,20210501,test,100
145,1432287,20210501,0,53
146,1434972,20210501,0,1
147,1436163,20210501,1,100
148,1436318,20210501,0,60
149,1437484,20210501,1,24
150,1438620,20210501,test,100
151,1441376,20210501,test,76
152,1441669,20210501,1,100
153,1443016,20210501,0,100
154,1445247,20210501,1,100
155,1445353,20210501,0,100
156,1445611,20210501,0,52
157,1446114,20210501,0,100
158,1446952,20210501,0,100
159,1448260,20210501,0,82
160,1449026,20210501,test,59
161,1449723,20210501,0,27
162,1449752,20210501,0,100
163,1450488,20210501,1,100
164,1452642,20210501,0,77
165,1453023,20210501,test,14
166,1454028,20210501,1,100
167,1454958,20210501,1,26
168,1455620,20210501,0,100
169,1456149,20210501,1,100
170,1458067,20210501,test,100
171,1458904,20210501,0,100
172,1459584,20210501,test,76
173,1460283,20210501,0,100
174,1460384,20210501,0,99
175,1461147,20210501,0,49
176,1461502,20210501,1,100
177,1461867,20210501,1,17
178,1463131,20210501,0,70
179,1463159,20210501,1,99
180,1463765,20210501,0,100
181,1465012,20210501,0,54
182,1465208,20210501,test,74
183,1465306,20210501,1,62
