,number_of_friends
99978,100
998604,100
998421,100
997106,100
998390,99
999555,84
997177,81
999819,80
999478,74
997150,57
996300,55
99881,41
997570,20
99607,100
995707,100
995549,100
99516,100
99477,100
994682,100
994079,100
993533,100
993155,100
995191,78
993138,100
994883,12
99413,3
993123,100
992061,100
990720,100
990379,100
990108,100
989716,100
989110,98
992975,89
98982,67
988951,100
988712,100
988262,100
988195,100
987554,100
987047,100
98677,100
986053,100
986011,100
987413,86
985939,67
985543,100
985191,100
98472,100
983114,100
982512,100
982427,100
982119,100
982101,98
985090,84
981938,90
983666,41
982046,9
981751,100
979974,100
97974,100
978104,100
977883,100
981263,99
981421,95
97879,70
979582,66
979393,65
977441,100
981611,35
981189,9
980977,1
973049,100
971223,100
976338,100
971501,100
972035,100
974650,100
972275,87
974267,58
974987,44
975766,38
972967,35
976368,30
977405,22
972011,19
969449,100
971669,1
967551,100
967544,100
967424,100
967121,100
966519,100
966278,100
965009,100
96752,72
964825,100
968052,58
969164,11
964577,100
96424,100
96395,100
963749,100
962881,100
960503,100
960440,100
960082,100
964237,61
960935,43
960522,32
960879,26
964273,8
959850,100
959721,100
959656,100
959186,100
958285,100
957644,100
956541,100
95650,100
958927,99
959702,60
956228,100
957096,16
953653,100
953429,100
953420,100
953121,100
952450,100
951267,100
951058,100
951618,94
952574,65
955502,52
952470,18
951460,1
950475,100
950106,100
950036,100
949740,100
949473,100
949214,100
946393,100
948876,99
947786,76
945716,55
945573,100
950038,31
947076,2
947627,1
945489,100
943664,100
943307,100
942914,100
942354,100
942058,100
943087,79
943562,64
942470,61
942858,34
943123,29
944625,25
942022,25
94063,66
944949,1
940354,100
940005,100
939914,100
939685,100
937787,100
937436,100
937181,100
937020,100
938155,53
940606,38
936606,23
939826,22
939386,13
936450,100
93520,100
933915,100
933467,100
932918,100
932421,100
932171,100
931678,100
932063,65
931591,100
934317,43
933894,35
93272,9
934635,1
92902,100
928695,100
928397,100
927342,100
926980,100
925714,100
923618,100
93075,88
92401,80
931479,63
929620,11
922574,9
931105,1
924083,1
921605,100
921338,100
91880,100
918465,100
917925,100
917248,100
916423,100
921535,57
91714,54
916516,54
916614,51
916970,49
920028,29
915834,100
915317,100
914704,100
914473,100
914095,100
916392,97
914539,78
912638,100
915470,70
913323,58
912932,52
912771,37
916358,27
913153,6
912413,100
911916,100
909883,100
909169,100
908829,100
908598,100
908597,100
907619,100
906974,100
910984,38
912075,30
911681,16
909697,16
909531,1
904911,100
904854,100
904392,100
904123,100
903920,100
903426,100
903685,94
905232,78
905487,67
903306,100
903755,33
904217,24
903625,24
90685,1
905398,1
902871,100
901895,100
90098,100
899822,100
898084,100
89749,100
897239,100
898903,99
900324,78
897131,100
897326,18
897817,1
894930,100
894223,100
894037,100
893206,100
893027,100
896272,99
892355,100
896626,82
896602,59
892465,45
894458,44
896530,30
894955,8
894467,2
892143,100
892065,100
891985,100
891925,100
891504,100
891350,100
890808,100
890727,100
890960,50
892199,47
890615,34
890599,98
890948,23
889696,100
888345,100
888313,100
887869,100
887712,100
887472,100
887278,100
887121,100
888051,53
