mod,score,name,dfeval_metric,boosting_type,iterations,depth,loss_function,learning_rate,score_function,csv_model
CatBoost,0.6454366227810426,client_target_nof,AUC,Plain,1500,5,MultiClass,0.02,Cosine,CatBoost_1500_0.02_5
CatBoost,0.651664939456747,client_target_nof,AUC,Plain,1500,5,MultiClass,0.02,Cosine,CatBoost_1500_0.02_5
CatBoost,0.651664939456747,client_target_nof,AUC,Plain,1500,5,MultiClass,0.02,Cosine,CatBoost_1500_0.02_5
CatBoost,0.6458494710107081,client_target_nof,AUC,Plain,1500,5,MultiClass,0.02,Cosine,CatBoost_1500_0.02_5
CatBoost,0.6462927417912185,data_all_fft_stat,AUC,Plain,1500,5,MultiClass,0.02,Cosine,CatBoost_1500_0.02_5
CatBoost,0.6462927417912185,d_all_fft_stat,AUC,Plain,1500,5,MultiClass,0.02,Cosine,CatBoost_1500_0.02_5
CatBoost,0.6476461319959236,d_all_fft_stat,AUC,Plain,2000,5,MultiClass,0.02,Cosine,CatBoost_2000_0.02_5
CatBoost,0.6490968504146506,d_all_fft_stat,AUC,Plain,3000,5,MultiClass,0.02,Cosine,CatBoost_3000_0.02_5
CatBoost,0.6503261516851389,d_all_fft_stat,AUC,Plain,5000,5,MultiClass,0.02,Cosine,CatBoost_5000_0.02_5
CatBoost,0.6506615606944721,d_all_fft_stat,AUC,Plain,10000,5,MultiClass,0.02,Cosine,CatBoost_10000_0.02_5
CatBoost,0.6489965440662073,IU_norm,AUC,Plain,3000,5,MultiClass,0.02,Cosine,CatBoost_3000_0.02_5
CatBoost,0.6482225728961555,IU_norm,AUC,Plain,3000,5,MultiClass,0.02,Cosine,CatBoost_3000_0.02_5
CatBoost,0.6458348391388697,fft_friend,AUC,Plain,1500,5,MultiClass,0.02,Cosine,CatBoost_1500_0.02_5
CatBoost,0.6485091613595101,data_all,AUC,Plain,3000,5,Logloss,0.02,Cosine,CatBoost_3000_0.02_5
CatBoost,0.6485091613595101,data_all,AUC,Plain,3000,5,CrossEntropy,0.02,Cosine,CatBoost_3000_0.02_5
CatBoost,0.6485091613595101,data_all,AUC,Plain,3000,5,CrossEntropy,0.02,Cosine,CatBoost_3000_0.02_5
CatBoost,0.6485091613595101,data_all_LL,AUC,Plain,3000,5,Logloss,0.02,Cosine,CatBoost_3000_0.02_5
CatBoost,0.6485091613595101,data_all_CrossEntropy,AUC,Plain,3000,5,CrossEntropy,0.02,Cosine,CatBoost_3000_0.02_5
CatBoost,0.6485091613595101,data_all_CrossEntropy,AUC,Plain,3000,5,CrossEntropy,0.02,Cosine,CatBoost_3000_0.02_5
CatBoost,0.6489377616412764,data_all_MultiClassOneVsAll,AUC,Plain,3000,5,MultiClassOneVsAll,0.02,Cosine,CatBoost_3000_0.02_5
